Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,CTR
106921,TechCorp,Social Media,Women 35-44,60 days,Google Ads,0.04,10159.0,6.25,New York,English,125,6992,3,Health & Wellness,2021-12-07,0.017877574370709384
107036,DataTech Solutions,Search,Women 25-34,30 days,YouTube,0.09,15323.0,2.43,Houston,English,271,3814,1,Outdoor Adventurers,2021-04-01,0.07105401153644468
120679,Alpha Innovations,Social Media,Men 25-34,15 days,Instagram,0.07,9238.0,2.66,Los Angeles,German,796,1089,3,Health & Wellness,2021-08-17,0.7309458218549127
17588,TechCorp,Email,Men 18-24,30 days,Website,0.12,14316.0,2.06,Miami,Spanish,746,3258,3,Tech Enthusiasts,2021-03-09,0.22897483118477593
181296,DataTech Solutions,Influencer,Women 35-44,15 days,Google Ads,0.03,13717.0,2.85,Miami,French,102,5021,3,Fashionistas,2021-09-13,0.02031467835092611
18295,TechCorp,Display,Women 35-44,60 days,Instagram,0.08,18362.0,4.26,Chicago,Spanish,208,6003,8,Health & Wellness,2021-02-14,0.03464934199566883
114358,Alpha Innovations,Email,Men 25-34,45 days,Website,0.12,6697.0,2.96,Houston,German,411,5614,2,Outdoor Adventurers,2021-04-23,0.07320983256145351
163324,DataTech Solutions,Social Media,Men 25-34,30 days,Instagram,0.13,18557.0,6.98,Chicago,English,237,9612,7,Fashionistas,2021-06-18,0.024656679151061175
13132,TechCorp,Social Media,Women 35-44,45 days,Website,0.12,18980.0,4.04,Los Angeles,French,188,8105,1,Outdoor Adventurers,2021-12-23,0.023195558297347315
16903,Innovate Industries,Email,Men 25-34,30 days,Instagram,0.13,17574.0,2.8,Chicago,German,455,9739,3,Health & Wellness,2021-04-23,0.04671937570592463
156526,TechCorp,Social Media,All Ages,60 days,Facebook,0.12,19408.0,7.55,New York,Mandarin,624,4766,8,Health & Wellness,2021-11-02,0.13092740243390685
153694,Alpha Innovations,Search,Women 35-44,15 days,Facebook,0.06,5574.0,7.46,Chicago,Mandarin,892,9757,3,Fashionistas,2021-01-29,0.09142154350722557
17050,DataTech Solutions,Display,Women 35-44,15 days,Instagram,0.05,7248.0,2.13,Chicago,Mandarin,943,5252,4,Tech Enthusiasts,2021-09-17,0.17955064737242954
55911,NexGen Systems,Social Media,Men 25-34,60 days,Instagram,0.1,11549.0,6.25,Chicago,German,588,4634,8,Fashionistas,2021-03-07,0.1268882175226586
3955,DataTech Solutions,Display,Women 25-34,60 days,Facebook,0.11,15581.0,2.81,Miami,French,481,1290,6,Health & Wellness,2021-11-01,0.37286821705426354
81660,Alpha Innovations,Search,All Ages,15 days,YouTube,0.09,11556.0,3.29,New York,Mandarin,874,8677,3,Foodies,2021-09-22,0.10072605739310822
9015,DataTech Solutions,Email,Men 18-24,30 days,Email,0.15,8712.0,6.65,New York,German,314,7944,4,Fashionistas,2021-09-12,0.039526686807653574
167137,TechCorp,Display,Men 25-34,45 days,Facebook,0.12,7600.0,4.89,Houston,German,424,8672,9,Outdoor Adventurers,2021-11-28,0.048892988929889296
18847,Alpha Innovations,Display,Men 18-24,60 days,Instagram,0.02,6791.0,4.99,Los Angeles,Mandarin,288,6448,6,Tech Enthusiasts,2021-08-20,0.04466501240694789
81505,NexGen Systems,Social Media,All Ages,45 days,Website,0.05,16366.0,7.76,Los Angeles,German,252,3756,1,Outdoor Adventurers,2021-04-20,0.0670926517571885
173561,NexGen Systems,Influencer,Women 25-34,45 days,Google Ads,0.01,14704.0,7.47,Los Angeles,German,731,2879,1,Outdoor Adventurers,2021-07-05,0.2539076068079194
115003,NexGen Systems,Email,All Ages,60 days,Google Ads,0.07,13689.0,6.79,Houston,English,765,5408,7,Outdoor Adventurers,2021-01-28,0.14145710059171598
135913,DataTech Solutions,Display,Women 25-34,30 days,YouTube,0.15,7434.0,2.91,Miami,English,782,9067,1,Tech Enthusiasts,2021-05-13,0.08624682916069262
46950,NexGen Systems,Search,Women 25-34,45 days,Website,0.1,19196.0,6.7,Houston,Spanish,431,8896,2,Outdoor Adventurers,2021-08-18,0.04844874100719424
125330,DataTech Solutions,Display,Women 25-34,15 days,Google Ads,0.03,6489.0,3.34,Miami,English,661,4884,9,Foodies,2021-05-15,0.13533988533988534
145961,NexGen Systems,Influencer,Women 35-44,30 days,Instagram,0.14,18894.0,5.16,Los Angeles,German,753,1747,6,Tech Enthusiasts,2021-11-22,0.4310246136233543
43680,NexGen Systems,Display,All Ages,45 days,Email,0.02,19003.0,4.52,Los Angeles,Spanish,114,3993,3,Fashionistas,2021-09-02,0.028549962434259956
101943,Innovate Industries,Social Media,All Ages,30 days,Instagram,0.04,9595.0,7.95,Los Angeles,German,849,8562,8,Fashionistas,2021-04-18,0.09915907498248074
82977,Innovate Industries,Influencer,All Ages,60 days,Email,0.02,17092.0,7.15,Houston,Mandarin,839,7866,2,Foodies,2021-05-02,0.10666158148995677
169663,DataTech Solutions,Email,Women 35-44,15 days,Instagram,0.1,10379.0,6.07,New York,Mandarin,698,6950,5,Tech Enthusiasts,2021-10-30,0.10043165467625899
191754,NexGen Systems,Social Media,Men 25-34,60 days,YouTube,0.12,12785.0,2.63,Houston,French,695,6634,7,Tech Enthusiasts,2021-05-09,0.10476334036780223
119553,Innovate Industries,Search,All Ages,15 days,Instagram,0.05,13952.0,3.91,Los Angeles,German,561,7998,8,Tech Enthusiasts,2021-07-17,0.07014253563390847
2380,Innovate Industries,Social Media,Women 25-34,15 days,Website,0.14,5623.0,3.72,New York,French,541,3475,6,Fashionistas,2021-07-09,0.15568345323741006
58282,NexGen Systems,Email,Men 25-34,45 days,Google Ads,0.01,9167.0,5.89,Chicago,French,750,6196,2,Health & Wellness,2021-09-04,0.1210458360232408
165060,DataTech Solutions,Display,Women 35-44,15 days,Email,0.1,17993.0,4.66,Miami,French,166,9803,10,Outdoor Adventurers,2021-03-21,0.016933591757625217
48584,TechCorp,Search,Women 25-34,45 days,Email,0.14,19835.0,2.65,Los Angeles,Mandarin,653,9047,7,Outdoor Adventurers,2021-02-08,0.07217862274787222
97971,TechCorp,Display,Women 35-44,30 days,Email,0.07,7962.0,5.86,Miami,Spanish,404,8999,2,Fashionistas,2021-05-31,0.04489387709745527
171635,Alpha Innovations,Influencer,Men 25-34,45 days,Instagram,0.1,16116.0,2.65,Houston,Mandarin,299,8258,8,Tech Enthusiasts,2021-03-26,0.03620731411964156
30419,Alpha Innovations,Search,Women 25-34,45 days,Website,0.06,13969.0,7.07,Chicago,French,907,2581,7,Tech Enthusiasts,2021-05-04,0.35141418055017437
197926,NexGen Systems,Social Media,Men 18-24,30 days,YouTube,0.03,7596.0,5.01,Los Angeles,German,340,9165,6,Foodies,2021-04-06,0.03709765411893071
198058,TechCorp,Influencer,All Ages,15 days,Instagram,0.08,10436.0,4.94,Miami,Mandarin,672,1073,6,Outdoor Adventurers,2021-08-16,0.6262814538676608
173553,DataTech Solutions,Display,Women 25-34,60 days,YouTube,0.08,19455.0,4.56,Miami,English,645,1906,3,Outdoor Adventurers,2021-06-27,0.33840503672612804
20062,TechCorp,Display,Women 35-44,15 days,Website,0.06,13515.0,2.68,Houston,French,886,5653,6,Tech Enthusiasts,2021-12-18,0.1567309393242526
199893,Alpha Innovations,Search,Women 25-34,30 days,Instagram,0.06,8646.0,7.38,Chicago,French,613,2323,5,Foodies,2021-08-26,0.2638829100301334
164777,Alpha Innovations,Social Media,Women 25-34,45 days,Email,0.12,9210.0,3.81,Houston,French,730,9785,4,Fashionistas,2021-06-11,0.0746039856923863
46712,Innovate Industries,Display,Women 35-44,15 days,YouTube,0.07,15318.0,4.37,Chicago,Spanish,542,9058,10,Tech Enthusiasts,2021-12-23,0.059836608522852726
45816,Alpha Innovations,Search,Women 25-34,15 days,Email,0.14,19214.0,7.78,New York,German,414,3523,4,Tech Enthusiasts,2021-07-10,0.11751348282713596
149470,TechCorp,Display,Men 25-34,60 days,YouTube,0.07,16362.0,6.1,Miami,Spanish,378,7854,6,Outdoor Adventurers,2021-07-04,0.0481283422459893
198752,DataTech Solutions,Email,Men 25-34,30 days,Email,0.12,5621.0,7.01,Chicago,English,655,5764,5,Health & Wellness,2021-07-11,0.11363636363636363
142132,DataTech Solutions,Social Media,Men 18-24,60 days,Email,0.13,5235.0,5.47,Houston,German,980,4462,3,Health & Wellness,2021-05-27,0.21963245181532945
161796,NexGen Systems,Social Media,All Ages,15 days,Instagram,0.1,10526.0,5.61,Los Angeles,French,917,1233,10,Tech Enthusiasts,2021-04-11,0.7437145174371452
193320,TechCorp,Email,Women 25-34,60 days,YouTube,0.13,11584.0,2.38,New York,Spanish,202,9600,9,Health & Wellness,2021-08-23,0.021041666666666667
28922,TechCorp,Display,All Ages,45 days,Google Ads,0.14,17174.0,2.07,Miami,German,956,7449,3,Outdoor Adventurers,2021-03-28,0.12833937441267285
151570,Alpha Innovations,Influencer,Women 35-44,45 days,Email,0.1,10056.0,4.75,Miami,Mandarin,734,9136,2,Tech Enthusiasts,2021-04-05,0.0803415061295972
50844,DataTech Solutions,Email,Men 18-24,45 days,Facebook,0.1,15440.0,2.02,Chicago,French,491,4111,1,Foodies,2021-04-19,0.11943566042325468
54662,DataTech Solutions,Search,Women 25-34,15 days,Website,0.07,11017.0,2.85,Houston,French,188,7936,9,Foodies,2021-10-04,0.023689516129032258
107405,Alpha Innovations,Influencer,Women 35-44,60 days,YouTube,0.07,16227.0,2.84,Miami,Mandarin,733,6609,7,Health & Wellness,2021-04-05,0.11090936601603874
33332,TechCorp,Influencer,Women 35-44,30 days,Facebook,0.12,9258.0,6.74,Houston,English,710,8599,1,Fashionistas,2021-04-27,0.0825677404349343
122505,NexGen Systems,Influencer,Women 25-34,30 days,Email,0.05,12920.0,5.7,Houston,English,808,4066,1,Tech Enthusiasts,2021-08-18,0.1987211018199705
76602,TechCorp,Email,Women 35-44,30 days,YouTube,0.13,14009.0,3.18,Miami,English,511,5255,4,Tech Enthusiasts,2021-11-13,0.0972407231208373
115573,Innovate Industries,Influencer,All Ages,60 days,YouTube,0.09,19021.0,7.64,Los Angeles,Mandarin,179,9426,2,Outdoor Adventurers,2021-08-21,0.018990027583280288
97887,DataTech Solutions,Email,Women 35-44,60 days,Instagram,0.09,5657.0,2.98,Miami,Spanish,539,8228,8,Health & Wellness,2021-03-08,0.06550802139037433
71399,NexGen Systems,Email,Men 25-34,30 days,Email,0.03,15182.0,2.71,Los Angeles,Spanish,322,4240,2,Outdoor Adventurers,2021-08-12,0.07594339622641509
127162,TechCorp,Influencer,All Ages,45 days,Facebook,0.08,9743.0,7.59,Houston,English,733,3996,3,Fashionistas,2021-05-22,0.18343343343343343
18484,NexGen Systems,Search,Men 25-34,45 days,Website,0.1,14738.0,5.0,Houston,French,638,9684,8,Foodies,2021-08-22,0.06588186699710863
93587,DataTech Solutions,Social Media,Men 25-34,30 days,Website,0.02,19157.0,4.88,Chicago,French,149,8051,5,Tech Enthusiasts,2021-05-27,0.018507017761768725
138311,DataTech Solutions,Influencer,Women 35-44,30 days,Facebook,0.05,17684.0,6.46,Chicago,French,489,1991,8,Tech Enthusiasts,2021-12-07,0.245605223505776
100034,Alpha Innovations,Search,Women 25-34,45 days,Instagram,0.02,12122.0,2.98,New York,German,684,7419,5,Tech Enthusiasts,2021-01-24,0.09219571370804691
73442,DataTech Solutions,Display,Women 25-34,60 days,Instagram,0.02,8934.0,7.5,Miami,Spanish,211,8486,6,Tech Enthusiasts,2021-03-18,0.024864482677350933
7349,Alpha Innovations,Display,Men 18-24,30 days,Website,0.15,17040.0,4.97,Los Angeles,Spanish,177,6994,1,Foodies,2021-02-18,0.02530740634829854
188643,Alpha Innovations,Influencer,All Ages,15 days,Website,0.12,16034.0,5.4,Los Angeles,Mandarin,210,3512,9,Tech Enthusiasts,2021-10-30,0.05979498861047836
188725,DataTech Solutions,Display,Women 25-34,45 days,Google Ads,0.12,10722.0,3.94,Chicago,English,125,3727,5,Outdoor Adventurers,2021-01-20,0.03353903944191038
152119,DataTech Solutions,Search,Women 35-44,15 days,YouTube,0.13,5926.0,7.41,Houston,English,822,9983,1,Outdoor Adventurers,2021-10-06,0.08233997796253631
90312,Innovate Industries,Social Media,All Ages,60 days,YouTube,0.04,7100.0,4.3,Houston,Mandarin,716,6217,3,Outdoor Adventurers,2021-06-06,0.11516808750201062
190825,Innovate Industries,Display,Women 25-34,45 days,Facebook,0.05,16328.0,3.38,New York,English,807,3011,1,Tech Enthusiasts,2021-10-22,0.26801727000996345
22171,NexGen Systems,Email,All Ages,30 days,Email,0.03,19574.0,5.01,Miami,French,245,5434,8,Fashionistas,2021-09-28,0.04508649245491351
124031,Alpha Innovations,Display,All Ages,60 days,YouTube,0.11,19247.0,7.77,New York,Mandarin,386,4878,10,Foodies,2021-10-23,0.07913079130791308
169285,TechCorp,Influencer,Men 25-34,30 days,Google Ads,0.1,12157.0,2.87,New York,German,225,3364,1,Outdoor Adventurers,2021-10-17,0.066884661117717
121616,TechCorp,Email,Women 35-44,15 days,YouTube,0.06,12007.0,7.55,Los Angeles,French,190,5773,1,Tech Enthusiasts,2021-03-12,0.03291183093712108
69106,Innovate Industries,Email,Men 25-34,60 days,YouTube,0.11,16090.0,6.0,Miami,Spanish,453,4684,1,Health & Wellness,2021-05-01,0.09671221178479932
101798,Alpha Innovations,Search,Men 25-34,30 days,Email,0.06,15395.0,3.4,New York,German,562,8951,8,Foodies,2021-11-24,0.06278628086247347
57412,DataTech Solutions,Email,Women 25-34,45 days,Website,0.12,15284.0,7.74,Houston,Mandarin,551,6861,8,Foodies,2021-04-17,0.08030899285818394
188045,NexGen Systems,Display,Men 18-24,15 days,Facebook,0.13,12394.0,4.98,Chicago,German,823,8112,2,Fashionistas,2021-03-11,0.10145463510848127
52806,NexGen Systems,Social Media,Men 18-24,60 days,Email,0.12,15477.0,2.77,Los Angeles,German,605,9524,9,Tech Enthusiasts,2021-09-03,0.0635237295254095
194830,TechCorp,Social Media,All Ages,60 days,YouTube,0.13,8064.0,3.04,Houston,German,772,5074,6,Health & Wellness,2021-10-12,0.15214820654316122
161010,NexGen Systems,Display,Men 25-34,15 days,Facebook,0.07,10983.0,5.27,Chicago,Mandarin,417,6862,10,Outdoor Adventurers,2021-02-14,0.060769454969396675
105359,DataTech Solutions,Social Media,Men 18-24,60 days,Facebook,0.12,12527.0,2.67,Houston,English,967,5591,4,Outdoor Adventurers,2021-08-27,0.17295653729207655
46745,Alpha Innovations,Search,Women 35-44,15 days,YouTube,0.04,17477.0,7.24,Miami,German,103,1413,9,Foodies,2021-01-25,0.07289455060155697
140134,Innovate Industries,Social Media,Women 25-34,60 days,Instagram,0.06,9877.0,6.22,Houston,English,753,3141,3,Fashionistas,2021-12-05,0.23973256924546324
7601,Innovate Industries,Email,Men 25-34,30 days,Facebook,0.03,16137.0,5.43,Chicago,English,234,9674,7,Health & Wellness,2021-10-28,0.024188546619805663
47560,NexGen Systems,Influencer,Women 25-34,45 days,Email,0.11,16843.0,7.22,Chicago,English,174,2317,3,Tech Enthusiasts,2021-04-20,0.07509710832973673
111040,NexGen Systems,Search,Women 25-34,60 days,Website,0.06,13336.0,5.86,New York,Spanish,223,7213,5,Tech Enthusiasts,2021-03-21,0.03091640094274227
3383,TechCorp,Influencer,Men 25-34,15 days,Website,0.12,12684.0,3.37,New York,German,817,5743,10,Foodies,2021-04-08,0.14226014278251783
150562,Innovate Industries,Search,Men 25-34,15 days,Google Ads,0.11,8860.0,6.96,New York,French,753,9027,1,Tech Enthusiasts,2021-07-01,0.08341641741442339
6059,NexGen Systems,Display,Men 18-24,15 days,Instagram,0.09,10789.0,2.35,Houston,Spanish,731,9713,4,Tech Enthusiasts,2021-08-07,0.07525996087717492
130974,TechCorp,Search,Women 25-34,15 days,Facebook,0.11,17097.0,7.95,New York,Spanish,605,6405,2,Outdoor Adventurers,2021-10-31,0.09445745511319281
161663,DataTech Solutions,Email,Women 35-44,60 days,Google Ads,0.08,9533.0,5.12,Chicago,French,241,5620,10,Outdoor Adventurers,2021-11-29,0.04288256227758007
172658,Innovate Industries,Social Media,Women 35-44,15 days,Facebook,0.13,11116.0,6.62,Los Angeles,English,660,6309,9,Outdoor Adventurers,2021-01-13,0.10461245839277224
156735,DataTech Solutions,Search,Men 25-34,45 days,Facebook,0.09,12569.0,6.41,New York,French,820,4356,5,Tech Enthusiasts,2021-05-30,0.18824609733700642
115235,NexGen Systems,Search,Men 25-34,60 days,Google Ads,0.11,14196.0,6.13,Houston,Spanish,356,1366,4,Health & Wellness,2021-09-17,0.26061493411420206
126737,Innovate Industries,Email,Men 25-34,30 days,Google Ads,0.07,15885.0,3.54,Chicago,Mandarin,754,3664,1,Health & Wellness,2021-03-23,0.20578602620087336
166496,Innovate Industries,Social Media,Women 25-34,45 days,Google Ads,0.07,16088.0,3.56,Los Angeles,English,407,7528,2,Foodies,2021-02-25,0.05406482465462274
48125,DataTech Solutions,Search,All Ages,45 days,Email,0.14,17008.0,4.31,Los Angeles,Spanish,436,1618,3,Health & Wellness,2021-11-06,0.2694684796044499
134209,Alpha Innovations,Display,Men 25-34,60 days,Instagram,0.05,9243.0,6.35,Houston,German,113,9350,9,Health & Wellness,2021-09-11,0.012085561497326203
15122,NexGen Systems,Display,All Ages,45 days,Google Ads,0.06,11971.0,4.54,Chicago,Spanish,423,4461,8,Outdoor Adventurers,2021-06-06,0.09482178883658372
97076,DataTech Solutions,Social Media,All Ages,45 days,Instagram,0.01,6860.0,7.23,Los Angeles,Spanish,455,7613,3,Health & Wellness,2021-12-17,0.05976618941284645
66983,NexGen Systems,Social Media,Men 25-34,45 days,Instagram,0.02,16280.0,3.75,Chicago,Mandarin,479,5355,7,Outdoor Adventurers,2021-07-07,0.08944911297852474
64789,NexGen Systems,Influencer,Men 18-24,45 days,Website,0.11,8403.0,2.75,Los Angeles,Mandarin,299,5152,1,Tech Enthusiasts,2021-07-03,0.05803571428571429
23224,Alpha Innovations,Influencer,Men 18-24,45 days,Facebook,0.08,5036.0,7.88,Los Angeles,English,141,7029,9,Outdoor Adventurers,2021-08-17,0.020059752454118653
135632,DataTech Solutions,Email,All Ages,15 days,Facebook,0.03,15705.0,7.12,Miami,Mandarin,329,1071,9,Health & Wellness,2021-08-05,0.30718954248366015
160284,Innovate Industries,Social Media,Men 18-24,45 days,Facebook,0.02,10130.0,2.2,Miami,German,819,5139,6,Health & Wellness,2021-02-18,0.159369527145359
190841,Innovate Industries,Social Media,Women 35-44,60 days,Website,0.02,16800.0,5.76,Houston,Spanish,960,9941,7,Health & Wellness,2021-11-07,0.09656976159340107
182994,Innovate Industries,Email,All Ages,15 days,Website,0.13,11511.0,6.35,New York,Spanish,613,5025,9,Foodies,2021-05-09,0.12199004975124378
109991,DataTech Solutions,Display,Men 18-24,45 days,Email,0.04,18811.0,4.19,Houston,German,242,7714,3,Health & Wellness,2021-05-06,0.031371532278973296
83743,DataTech Solutions,Display,All Ages,60 days,Google Ads,0.15,18784.0,7.09,Chicago,French,120,9827,4,Health & Wellness,2021-06-07,0.012211254706421084
78429,Alpha Innovations,Email,Women 35-44,30 days,Facebook,0.14,7497.0,7.97,Chicago,French,526,9255,2,Tech Enthusiasts,2021-11-15,0.05683414370610481
23172,NexGen Systems,Search,Men 18-24,15 days,Facebook,0.1,18725.0,2.15,New York,Spanish,190,2322,4,Health & Wellness,2021-06-26,0.0818260120585702
99716,DataTech Solutions,Display,All Ages,60 days,Website,0.03,10448.0,5.86,Chicago,Mandarin,707,5436,10,Outdoor Adventurers,2021-03-12,0.1300588668138337
130642,DataTech Solutions,Email,Women 35-44,60 days,Website,0.09,7085.0,2.3,Miami,English,200,4764,4,Health & Wellness,2021-12-03,0.041981528127623846
117674,Alpha Innovations,Display,Women 35-44,15 days,Instagram,0.15,6539.0,6.9,Miami,English,740,4756,5,Outdoor Adventurers,2021-05-24,0.15559293523969722
14399,DataTech Solutions,Search,Men 25-34,60 days,Google Ads,0.08,5088.0,3.06,Houston,Spanish,707,5669,1,Foodies,2021-06-13,0.12471335332510143
148865,DataTech Solutions,Social Media,Men 25-34,15 days,Website,0.03,10264.0,5.95,Los Angeles,Spanish,873,3436,10,Outdoor Adventurers,2021-11-06,0.2540745052386496
133786,Innovate Industries,Influencer,Men 25-34,45 days,Email,0.09,14590.0,5.79,New York,Spanish,712,2162,4,Foodies,2021-07-15,0.32932469935245146
152728,Alpha Innovations,Display,Women 35-44,45 days,YouTube,0.1,18067.0,7.65,Houston,French,873,5963,7,Tech Enthusiasts,2021-06-07,0.14640281737380514
124069,DataTech Solutions,Email,All Ages,45 days,Facebook,0.03,6338.0,6.97,Chicago,French,816,4452,9,Fashionistas,2021-11-30,0.18328840970350405
141085,TechCorp,Display,Men 18-24,30 days,Website,0.1,19517.0,7.13,Chicago,Spanish,423,5617,5,Outdoor Adventurers,2021-07-14,0.07530710343599786
6663,NexGen Systems,Social Media,Women 25-34,45 days,Email,0.11,10359.0,7.92,Chicago,Mandarin,633,9858,8,Fashionistas,2021-04-03,0.06421180766889836
169936,DataTech Solutions,Search,Women 35-44,60 days,Email,0.13,10777.0,4.32,New York,Spanish,577,2685,1,Outdoor Adventurers,2021-07-30,0.2148975791433892
96043,Alpha Innovations,Search,Women 25-34,45 days,Google Ads,0.09,9753.0,6.08,Los Angeles,Spanish,339,7092,5,Health & Wellness,2021-02-17,0.047800338409475465
150155,Alpha Innovations,Social Media,Women 35-44,15 days,Website,0.11,8012.0,3.16,Chicago,Mandarin,470,1005,1,Tech Enthusiasts,2021-05-20,0.46766169154228854
182334,DataTech Solutions,Display,Women 25-34,15 days,Instagram,0.15,5532.0,6.96,New York,Spanish,222,3067,2,Foodies,2021-07-18,0.0723834365829801
64390,NexGen Systems,Social Media,Men 25-34,15 days,YouTube,0.13,16679.0,7.86,Los Angeles,English,583,1808,10,Health & Wellness,2021-05-30,0.32245575221238937
146742,NexGen Systems,Influencer,Men 18-24,30 days,Website,0.08,14359.0,6.45,Houston,German,336,3662,6,Fashionistas,2021-01-12,0.09175314036045877
172786,Alpha Innovations,Influencer,Women 25-34,30 days,YouTube,0.03,5808.0,3.66,New York,Mandarin,406,6407,5,Fashionistas,2021-05-21,0.06336819104104885
35348,DataTech Solutions,Social Media,Women 35-44,45 days,Website,0.08,12348.0,3.5,Los Angeles,Spanish,220,1810,3,Health & Wellness,2021-11-04,0.12154696132596685
27897,TechCorp,Display,Men 25-34,60 days,Website,0.02,17086.0,6.41,Miami,German,134,4473,10,Foodies,2021-06-06,0.029957522915269395
50044,Innovate Industries,Email,All Ages,45 days,Website,0.1,15997.0,3.08,Chicago,German,297,6982,7,Foodies,2021-02-08,0.04253795474076196
80591,Alpha Innovations,Search,Men 25-34,60 days,Instagram,0.13,8924.0,3.67,Chicago,German,627,1499,10,Foodies,2021-10-18,0.41827885256837893
39536,TechCorp,Influencer,Women 35-44,60 days,YouTube,0.06,13250.0,5.44,Houston,French,224,2686,10,Foodies,2021-04-26,0.08339538346984364
36141,Alpha Innovations,Display,Women 35-44,45 days,Facebook,0.11,8436.0,6.88,New York,French,544,3915,9,Tech Enthusiasts,2021-01-06,0.13895274584929757
130290,Innovate Industries,Display,All Ages,60 days,Facebook,0.02,15233.0,2.14,Houston,French,162,2054,6,Outdoor Adventurers,2021-12-16,0.07887049659201557
182174,Alpha Innovations,Email,Men 18-24,30 days,Website,0.11,13085.0,3.54,New York,French,468,6780,10,Health & Wellness,2021-02-08,0.06902654867256637
84930,DataTech Solutions,Search,All Ages,15 days,YouTube,0.14,10291.0,3.26,Chicago,Spanish,361,4631,3,Fashionistas,2021-09-07,0.07795292593392356
199152,Alpha Innovations,Social Media,Women 35-44,30 days,Google Ads,0.02,15239.0,7.78,Houston,German,185,9395,8,Fashionistas,2021-08-15,0.019691325172964343
24855,Innovate Industries,Email,Women 35-44,30 days,Email,0.02,17458.0,7.73,Los Angeles,English,355,7147,8,Tech Enthusiasts,2021-02-04,0.04967119070938855
122711,Alpha Innovations,Social Media,Women 35-44,30 days,YouTube,0.14,14289.0,6.4,Miami,German,691,1873,2,Health & Wellness,2021-03-12,0.36892685531233316
137119,DataTech Solutions,Email,Men 18-24,45 days,Email,0.07,15012.0,4.65,New York,English,853,7362,1,Foodies,2021-09-01,0.1158652540070633
46872,TechCorp,Social Media,All Ages,60 days,YouTube,0.04,9418.0,5.26,Chicago,French,770,7152,8,Outdoor Adventurers,2021-06-01,0.10766219239373602
131210,DataTech Solutions,Influencer,All Ages,30 days,Instagram,0.1,8942.0,3.64,Houston,Spanish,710,9371,4,Health & Wellness,2021-06-24,0.0757656600149397
193833,DataTech Solutions,Display,Women 25-34,45 days,Website,0.14,7755.0,4.9,Houston,English,224,9422,8,Health & Wellness,2021-01-18,0.0237741456166419
166254,TechCorp,Email,Men 18-24,45 days,Google Ads,0.03,13497.0,2.94,Miami,Spanish,336,7709,4,Outdoor Adventurers,2021-06-28,0.04358541963938254
133047,NexGen Systems,Email,Women 25-34,45 days,Google Ads,0.03,19434.0,2.25,New York,English,455,1195,10,Tech Enthusiasts,2021-07-06,0.3807531380753138
186675,TechCorp,Display,Women 25-34,30 days,Google Ads,0.12,17817.0,6.15,Los Angeles,German,869,8175,3,Foodies,2021-06-09,0.10629969418960244
43573,DataTech Solutions,Search,Men 25-34,45 days,Instagram,0.02,12157.0,7.06,Houston,German,979,9799,4,Health & Wellness,2021-05-18,0.09990815389325441
34387,Innovate Industries,Display,Women 35-44,60 days,Google Ads,0.13,16057.0,4.22,Miami,English,398,5762,4,Tech Enthusiasts,2021-03-18,0.06907323845886845
164852,NexGen Systems,Email,Men 25-34,15 days,Instagram,0.04,11075.0,6.96,Chicago,English,646,5605,5,Foodies,2021-08-25,0.1152542372881356
26722,TechCorp,Search,Women 25-34,15 days,Instagram,0.03,11518.0,4.62,Chicago,French,671,7046,7,Fashionistas,2021-03-18,0.0952313369287539
26289,NexGen Systems,Search,Women 35-44,15 days,Website,0.02,6815.0,5.17,Los Angeles,German,574,2224,5,Health & Wellness,2021-01-09,0.2580935251798561
68184,Innovate Industries,Search,All Ages,30 days,Google Ads,0.08,9494.0,3.16,Houston,Mandarin,841,8550,6,Foodies,2021-10-21,0.09836257309941521
6470,Alpha Innovations,Display,All Ages,45 days,Website,0.1,6540.0,2.21,Chicago,Spanish,914,2808,4,Foodies,2021-09-22,0.32549857549857547
32793,TechCorp,Email,Men 25-34,30 days,Facebook,0.09,17166.0,4.73,Los Angeles,German,804,8308,10,Fashionistas,2021-11-04,0.0967741935483871
60881,Alpha Innovations,Influencer,Women 35-44,15 days,Website,0.1,18743.0,2.41,New York,French,238,5328,5,Fashionistas,2021-10-18,0.04466966966966967
189213,Alpha Innovations,Email,Men 25-34,30 days,Email,0.03,16212.0,4.88,Los Angeles,German,424,3346,4,Health & Wellness,2021-05-23,0.12671846981470414
118081,Alpha Innovations,Display,Women 35-44,15 days,YouTube,0.12,8682.0,7.26,Houston,German,855,9652,4,Outdoor Adventurers,2021-07-05,0.08858267716535433
140007,Innovate Industries,Social Media,Men 25-34,45 days,Google Ads,0.14,8990.0,6.64,Houston,English,935,2422,4,Outdoor Adventurers,2021-07-31,0.3860445912469034
154862,Innovate Industries,Email,Women 35-44,30 days,YouTube,0.15,18830.0,2.58,New York,French,638,2710,3,Health & Wellness,2021-04-12,0.23542435424354244
197786,NexGen Systems,Display,Men 18-24,60 days,Google Ads,0.15,9936.0,6.13,New York,Spanish,181,4928,10,Tech Enthusiasts,2021-11-17,0.036728896103896104
196687,Alpha Innovations,Influencer,All Ages,30 days,Google Ads,0.1,15306.0,3.41,Houston,Spanish,564,1027,10,Foodies,2021-11-13,0.549172346640701
